schema_version,run_id,workload_id,workload_name,dataset_id,model_name,model_params_b,architecture,quantization,backend,flash_mode,pipeline,n_ctx,prefix_tokens,compactable_tokens,live_suffix_tokens,compression_ratio,compacted_tokens,continuation_tokens,prefill_ms,prefill_tok_s,compaction_time_ms,query_generation_time_ms,solver_time_ms,first_token_ms,baseline_decode_tok_s,compacted_decode_tok_s,in_run_throughput_delta_pct,active_n_kv,allocated_kv_bytes,reclaimed_kv_bytes,logit_cosine,task_metric_name,task_metric_value,quality_correct,quality_total,quality_accuracy,quality_baseline_accuracy,longhealth_correct,longhealth_total,longhealth_accuracy,longhealth_baseline_accuracy,threshold_name,threshold_value,pass,fallback_used,fallback_reason,crash,error_text,artifact_path,support_level,support_reason,throughput_pass
2,20260313-182237-b99b7774-build-host,W3,production,synthetic-sec,Qwen3-14B-Q4_K_M,14.0,Dense GQA 5:1,Q4_K_M,metal,off,baseline,16384,13107,10485,2622,1,0,16,101218.1,129.5,0.0,0.0,0.0,320.2,3.1,3.1,0.0000,13123,,,1.000000,,,,,,,,,,,,0.0000,true,false,,false,,,supported,,true
2,20260313-182237-b99b7774-build-host,W3,production,synthetic-sec,Qwen3-14B-Q4_K_M,14.0,Dense GQA 5:1,Q4_K_M,metal,off,baseline,32768,26214,20971,5243,1,0,16,278991.7,94.0,0.0,0.0,0.0,300.8,3.3,3.3,0.0000,26230,,,1.000000,,,,,,,,,,,,0.0000,true,false,,false,,,supported,,true
2,20260313-182237-b99b7774-build-host,W3,production,synthetic-sec,Qwen3-14B-Q4_K_M,14.0,Dense GQA 5:1,Q4_K_M,metal,off,select,16384,13107,10485,2622,2,5242,16,105739.3,124.0,3004.0,0.0,0.0,374.2,8.6,2.7,-68.7996,2816,,,0.997806,,,,,,,,,,,W3:logit_cosine:2,0.9500,true,false,,false,,,supported,,false
2,20260313-182237-b99b7774-build-host,W3,production,synthetic-sec,Qwen3-14B-Q4_K_M,14.0,Dense GQA 5:1,Q4_K_M,metal,off,select,16384,13107,10485,2622,4,2621,16,101947.2,128.6,2262.5,0.0,0.0,277.3,8.1,3.6,-55.2160,2816,,,0.992896,,,,,,,,,,,W3:logit_cosine:4,0.9000,true,false,,false,,,supported,,true
2,20260313-182237-b99b7774-build-host,W3,production,synthetic-sec,Qwen3-14B-Q4_K_M,14.0,Dense GQA 5:1,Q4_K_M,metal,off,select,16384,13107,10485,2622,8,1310,16,101037.2,129.7,1745.2,0.0,0.0,218.5,8.6,4.6,-47.0662,2816,,,0.973016,,,,,,,,,,,W3:logit_cosine:8,0.8500,true,false,,false,,,supported,,true
2,20260313-182237-b99b7774-build-host,W3,production,synthetic-sec,Qwen3-14B-Q4_K_M,14.0,Dense GQA 5:1,Q4_K_M,metal,off,select,32768,26214,20971,5243,2,10485,16,278206.2,94.2,6841.7,0.0,0.0,2291.7,5.3,0.4,-91.7539,5376,,,0.998075,,,,,,,,,,,W3:logit_cosine:2,0.9500,true,false,,false,,,experimental,32k_throughput_regression,false
2,20260313-182237-b99b7774-build-host,W3,production,synthetic-sec,Qwen3-14B-Q4_K_M,14.0,Dense GQA 5:1,Q4_K_M,metal,off,select,32768,26214,20971,5243,4,5242,16,283585.9,92.4,6648.0,0.0,0.0,962.6,5.1,1.0,-79.5187,5376,,,0.997369,,,,,,,,,,,W3:logit_cosine:4,0.9000,true,false,,false,,,experimental,32k_throughput_regression,false
2,20260313-182237-b99b7774-build-host,W3,production,synthetic-sec,Qwen3-14B-Q4_K_M,14.0,Dense GQA 5:1,Q4_K_M,metal,off,select,32768,26214,20971,5243,8,2621,16,279310.2,93.9,4014.3,0.0,0.0,441.3,5.1,2.3,-55.9894,5376,,,0.996619,,,,,,,,,,,W3:logit_cosine:8,0.8500,true,false,,false,,,experimental,32k_throughput_regression,true
