build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"561ab598","8444","Accelerate, Apple M2 Pro","Apple M2 Pro","MTL,BLAS","/Users/ajayjandhyala/.ollama/models/blobs/sha256-ac9bc7a69dab38da1c790838955f1293420b55ab555ef6b4615efa1c1507b1ed","qwen2 14B Q4_K - Medium","8982142976","14770033664","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","512","0","0","2026-03-16T05:09:27Z","3064678479","15127013","167.066869","0.824618"
"561ab598","8444","Accelerate, Apple M2 Pro","Apple M2 Pro","MTL,BLAS","/Users/ajayjandhyala/.ollama/models/blobs/sha256-ac9bc7a69dab38da1c790838955f1293420b55ab555ef6b4615efa1c1507b1ed","qwen2 14B Q4_K - Medium","8982142976","14770033664","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","128","0","2026-03-16T05:09:36Z","7367628812","9489765","17.373311","0.022376"
