build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"561ab598","8444","Accelerate, Apple M2 Pro","Apple M2 Pro","MTL,BLAS","/home/user/.ollama/models/blobs/sha256-2af3b81862c6be03c769683af18efdadb2c33f60ff32ab6f83e42c043d6c7816","llama 1B Q4_0","635990016","1100048384","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","512","0","0","2026-03-16T04:57:22Z","222276292","1254643","2303.476236","13.002024"
"561ab598","8444","Accelerate, Apple M2 Pro","Apple M2 Pro","MTL,BLAS","/home/user/.ollama/models/blobs/sha256-2af3b81862c6be03c769683af18efdadb2c33f60ff32ab6f83e42c043d6c7816","llama 1B Q4_0","635990016","1100048384","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","128","0","2026-03-16T04:57:23Z","708525395","11594049","180.681088","2.956583"
