build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"34818ea","1","Accelerate, Apple M2 Pro","Apple M2 Pro","MTL,BLAS","/Users/ajayjandhyala/.ollama/models/blobs/sha256-a8cc1361f3145dc01f6d77c6c82c9116b9ffe3c97b34716fe20418455876c40e","qwen3 14B Q4_K - Medium","9270225920","14768307200","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","512","0","0","2026-03-16T05:11:27Z","3038978146","147128208","168.675362","8.166200"
"34818ea","1","Accelerate, Apple M2 Pro","Apple M2 Pro","MTL,BLAS","/Users/ajayjandhyala/.ollama/models/blobs/sha256-a8cc1361f3145dc01f6d77c6c82c9116b9ffe3c97b34716fe20418455876c40e","qwen3 14B Q4_K - Medium","9270225920","14768307200","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","128","0","2026-03-16T05:11:36Z","8522676396","269736929","15.026282","0.475572"
