schema_version,run_id,workload_id,workload_name,dataset_id,model_name,model_params_b,architecture,quantization,backend,flash_mode,pipeline,n_ctx,prefix_tokens,compactable_tokens,live_suffix_tokens,compression_ratio,compacted_tokens,continuation_tokens,prefill_ms,prefill_tok_s,compaction_time_ms,query_generation_time_ms,solver_time_ms,first_token_ms,baseline_decode_tok_s,compacted_decode_tok_s,throughput_delta_pct,active_n_kv,allocated_kv_bytes,reclaimed_kv_bytes,logit_cosine,task_metric_name,task_metric_value,quality_correct,quality_total,quality_accuracy,quality_baseline_accuracy,longhealth_correct,longhealth_total,longhealth_accuracy,longhealth_baseline_accuracy,threshold_name,threshold_value,pass,fallback_used,fallback_reason,crash,error_text,artifact_path
1,20260312-094906-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,baseline,4096,3276,2620,656,1,0,16,10407.0,314.8,0.0,0.0,0.0,94.9,10.5,10.5,0.0000,3292,,,1.000000,,,,,,,,,,,,0.0000,true,false,,false,,
1,20260312-094906-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,solver,4096,3276,2620,656,2,1310,16,10418.2,314.5,275267.2,2275.5,272792.5,115.0,24.0,8.7,-63.7120,768,,,0.807672,,,,,,,,,,,W2:logit_cosine:2,0.9500,false,false,,false,,
1,20260312-094906-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,solver,4096,3276,2620,656,4,655,16,10420.0,314.4,76091.3,2270.0,73648.9,87.6,24.0,11.4,-52.4515,768,,,0.538424,,,,,,,,,,,W2:logit_cosine:4,0.9000,false,false,,false,,
1,20260312-094906-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,solver,4096,3276,2620,656,8,327,16,10409.3,314.7,44587.5,2269.9,42147.8,75.9,24.0,13.2,-45.0237,768,,,0.796526,,,,,,,,,,,W2:logit_cosine:8,0.8500,false,false,,false,,
1,20260312-094906-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,solver,4096,3276,2620,656,16,163,16,10420.0,314.4,38034.3,2259.2,35606.5,69.2,23.4,14.5,-38.2767,768,,,0.728589,,,,,,,,,,,W2:logit_cosine:16,0.8500,false,false,,false,,
1,20260312-094906-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,solver,4096,3276,2620,656,32,81,16,10408.3,314.7,36399.5,2337.0,33896.1,65.5,24.1,15.3,-36.5614,768,,,0.431318,,,,,,,,,,,W2:logit_cosine:32,0.8500,false,false,,false,,
1,20260312-094906-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,solver,4096,3276,2620,656,50,52,16,10410.6,314.7,36146.9,2352.0,33627.7,65.4,24.0,15.3,-36.4145,768,,,0.340432,,,,,,,,,,,W2:logit_cosine:50,0.8500,false,false,,false,,
